Estado;Cidade;Latitude;Longitude;casosConfirmados;Mortes;dtAtualizado
AC;Rio Branco;-9.975377;-67.8248977;25;0.0;2020-03-27
AL;Maceió;-9.6498487;-35.7089492;11;0.0;2020-03-27
AL;Porto Real do Colégio;-10.1853206;-36.8378849;1;0.0;2020-03-27
AM;Boca do Acre;-8.748832400000001;-67.3994582;1;0.0;2020-03-27
AM;Manacapuru;-3.2897455;-60.6320881;2;0.0;2020-03-27
AM;Manaus;-3.1190275;-60.0217314;75;0.0;2020-03-27
AM;Parintins;-2.633616;-56.7319696;2;1.0;2020-03-27
AM;Santo Antônio do Içá;-3.102811;-67.946675;1;0.0;2020-03-27
AP;Macapá;0.0355735;-51.070535;2;0.0;2020-03-27
BA;Alagoinhas;-12.1339689;-38.4211223;1;0.0;2020-03-27
BA;Barreiras;-12.1477483;-44.9953475;1;0.0;2020-03-27
BA;Brumado;-14.2025791;-41.6699736;1;0.0;2020-03-27
BA;Camaçari;-12.6971776;-38.3331983;1;0.0;2020-03-27
BA;Canarana;-11.6862665;-41.7680836;1;0.0;2020-03-27
BA;Conceição do Jacuípe;-12.3305286;-38.7670993;1;0.0;2020-03-27
BA;Conde;-11.814904;-37.6140253;1;0.0;2020-03-27
BA;Feira de Santana;-12.2535848;-38.9600762;9;0.0;2020-03-27
BA;Ilhéus;-14.7935051;-39.0463797;2;0.0;2020-03-27
BA;Ipiaú;-14.1349424;-39.7385835;1;0.0;2020-03-27
BA;Itabuna;-14.7916229;-39.2833243;2;0.0;2020-03-27
BA;Jequié;-13.8590592;-40.0837763;1;0.0;2020-03-27
BA;Juazeiro;-9.4312697;-40.5078709;2;0.0;2020-03-27
BA;Lauro de Freitas;-12.8820575;-38.3148204;7;0.0;2020-03-27
BA;Porto Seguro;-16.4443537;-39.0653656;10;0.0;2020-03-27
BA;Prado;-17.3340212;-39.2250648;2;0.0;2020-03-27
BA;Salvador;-12.977749;-38.5016301;78;0.0;2020-03-27
BA;São Domingos;-11.464721;-39.5275967;1;0.0;2020-03-27
BA;Teixeira de Freitas;-17.5400307;-39.7421813;1;0.0;2020-03-27
CE;Aquiraz;-3.906286399999999;-38.3874738;6;0.0;2020-03-27
CE;Fortaleza;-3.7327144;-38.5269981;268;3.0;2020-03-27
CE;Fortim;-4.4508711;-37.7987924;1;0.0;2020-03-27
CE;Juazeiro do Norte;-7.229036499999999;-39.3124461;1;0.0;2020-03-27
CE;Maranguape;-3.8829604;-38.6775829;1;0.0;2020-03-27
CE;Mauriti;-7.382949299999999;-38.7716665;1;0.0;2020-03-27
CE;Sobral;-3.6895919;-40.3485423;4;0.0;2020-03-27
DF;Brasília;-15.826691;-47.92182039999999;242;1.0;2020-03-27
ES;Cachoeiro de Itapemirim;-20.8467047;-41.1202199;1;0.0;2020-03-27
ES;Cariacica;-20.2643105;-40.42030219999999;1;0.0;2020-03-27
ES;Castelo;-20.6037746;-41.20353009999999;1;0.0;2020-03-27
ES;Linhares;-19.4021415;-40.0670118;4;0.0;2020-03-27
ES;Santa Teresa;-19.9368278;-40.5983289;1;0.0;2020-03-27
ES;São Roque do Canaã;-19.7386805;-40.6594438;1;0.0;2020-03-27
ES;Serra;-20.1228954;-40.3054099;5;0.0;2020-03-27
ES;Vila Velha;-20.3477821;-40.2949528;21;0.0;2020-03-27
ES;Vitória;-20.2976178;-40.2957768;18;0.0;2020-03-27
GO;Anápolis;-16.328546;-48.95340299999999;3;0.0;2020-03-27
GO;Aparecida de Goiânia;-16.820257;-49.2473044;2;0.0;2020-03-27
GO;Catalão;-18.1660958;-47.9444845;1;0.0;2020-03-27
GO;Goiânia;-16.6868982;-49.2648114;26;0.0;2020-03-27
GO;Hidrolândia;-16.9657527;-49.231423;1;0.0;2020-03-27
GO;Jataí;-17.884174;-51.7277223;1;0.0;2020-03-27
GO;Luziânia;-16.5236174;-48.0010282;1;1.0;2020-03-27
GO;Rio Verde;-17.7927534;-50.9196306;6;0.0;2020-03-27
GO;Silvânia;-16.6680815;-48.6132824;1;0.0;2020-03-27
GO;Valparaíso de Goiás;-16.0663414;-47.9845465;2;0.0;2020-03-27
MA;São Luís;-2.5299669;-44.2567292;13;0.0;2020-03-27
MG;Belo Horizonte;-19.9166813;-43.9344931;118;0.0;2020-03-27
MG;Betim;-19.9673078;-44.2011904;4;0.0;2020-03-27
MG;Boa Esperança;-21.0928092;-45.5629309;1;0.0;2020-03-27
MG;Bom Despacho;-19.7406544;-45.254096;1;0.0;2020-03-27
MG;Campo Belo;-20.8938356;-45.2721363;1;0.0;2020-03-27
MG;Campos Altos;-19.6918841;-46.1736055;1;0.0;2020-03-27
MG;Contagem;-19.9161508;-44.0808763;3;0.0;2020-03-27
MG;Coronel Fabriciano;-19.5190218;-42.62825369999999;1;0.0;2020-03-27
MG;Divinópolis;-20.103444;-44.9716724;6;0.0;2020-03-27
MG;Governador Valadares;-18.8547986;-41.9589601;1;0.0;2020-03-27
MG;Ipatinga;-19.4707569;-42.548012;1;0.0;2020-03-27
MG;Juiz de Fora;-21.7623644;-43.3436917;11;0.0;2020-03-27
MG;Lagoa da Prata;-20.0272246;-45.5353426;2;0.0;2020-03-27
MG;Mariana;-20.3652719;-43.4150073;2;0.0;2020-03-27
MG;Nova Lima;-19.9930478;-43.84855659999999;13;0.0;2020-03-27
MG;Patos de Minas;-18.5872541;-46.5147373;1;0.0;2020-03-27
MG;Patrocínio;-18.9379901;-46.9942484;1;0.0;2020-03-27
MG;Poços de Caldas;-21.7853787;-46.5619303;1;0.0;2020-03-27
MG;Sabará;-19.8838287;-43.8534085;1;0.0;2020-03-27
MG;São João del Rei;-21.1315407;-44.25306500000001;1;0.0;2020-03-27
MG;Sete Lagoas;-19.45738;-44.2416695;2;0.0;2020-03-27
MG;Timóteo;-19.5815683;-42.64753109999999;1;0.0;2020-03-27
MG;Uberaba;-19.7473668;-47.93915399999999;3;0.0;2020-03-27
